,id,text,aspect,polarity
92,2911," great food , good size menu , great service and an unpretentious setting .",food,positive
93,2911," great food , good size menu , great service and an unpretentious setting .",service,positive
94,2911," great food , good size menu , great service and an unpretentious setting .",ambience,positive
95,3074, go here for a romantic dinner but not for an all out wow dining experience .,anecdotes/miscellaneous,conflict
96,1479, ca n't wait to go back .,anecdotes/miscellaneous,positive
97,1074, i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds .,anecdotes/miscellaneous,neutral
98,912, wine list selection is good and wine by the glass was generously filled to the top .,food,positive
99,728," with the great variety on the menu , i eat here often and never get bored .",food,positive
100,2925, the menu is very limited - i think we counted 4 or 5 entrees .,food,negative
101,495," if you are a carnivore , come hungry and you will leave more satisfied than you have ever been .",anecdotes/miscellaneous,positive
102,3436, the menu is limited but almost all of the dishes are excellent .,food,conflict
103,3273, not too crazy about their sake martini .,food,negative
104,1215," great bagels , spreads and a good place to hang out in .",food,positive
105,1215," great bagels , spreads and a good place to hang out in .",anecdotes/miscellaneous,positive
106,183," the service varys from day to day sometimes they 're very nice , and sometimes not .",service,conflict
107,2511," whoever the jazz duo was , they were on point .",ambience,positive
108,282, one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests .,service,positive
109,1562, this place is a great bargain .,price,positive
110,1712, we happened upon this place purely by accident and were pleased with the results .,anecdotes/miscellaneous,positive
111,3249," unfortunately , the food is outstanding , but everything else about this restaurant is the pits .",food,positive
112,3249," unfortunately , the food is outstanding , but everything else about this restaurant is the pits .",anecdotes/miscellaneous,negative
113,2052, def recommend bukhara they also have opened two new locations guess ill try them out .,anecdotes/miscellaneous,positive
114,3207, we always have a delicious meal and always leave feeling satisfied .,food,positive
115,672," dip the ingredients in with your chopsticks , swirl them around , and eat .",food,neutral
116,2972, first went here to enjoy their garden terrace .,ambience,positive
117,1903," my husbands was perfect , my was well done and dry .",food,conflict
118,2549," everyone i have spoken too there is super friendly , helpful , and willing to the extra mile for a customer .",service,positive
119,1755, the pizza was pretty good and huge .,food,positive
120,2890, sapphire is the only indian restaurant i go to when i 'm in nyc .,anecdotes/miscellaneous,positive
121,2277," the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei .",food,neutral
122,2308, i heartily recommend .,anecdotes/miscellaneous,positive
123,51, heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones .,anecdotes/miscellaneous,positive
124,3680, i almost hesitate to write a review because the atmosphere was so great and i would hate for it too become to crowded .,ambience,positive
125,3155, they are often crowded on the weekends but they are efficient and accurate with their service .,service,positive
126,3155, they are often crowded on the weekends but they are efficient and accurate with their service .,ambience,negative
127,1688, all my co-workers were amazed at how small the dish was .,food,negative
128,598," the atmosphere is unheralded , the service impeccable , and the food magnificent .",food,positive
129,598," the atmosphere is unheralded , the service impeccable , and the food magnificent .",service,positive
130,598," the atmosphere is unheralded , the service impeccable , and the food magnificent .",ambience,positive
131,2926," we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",food,negative
132,3083," the wait staff is friendly , and the food has gotten better and better !",food,positive
133,3083," the wait staff is friendly , and the food has gotten better and better !",service,positive
134,1388," this place , which is only a few months old , is perhaps queens ' biggest secret !",anecdotes/miscellaneous,positive
135,2977," it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",food,positive
136,2977," it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",ambience,conflict
137,1574, this place is so much fun .,anecdotes/miscellaneous,positive
138,498, i was glad i did .,anecdotes/miscellaneous,positive
139,2604, right off the l in brooklyn this is a nice cozy place with good pizza .,food,positive
140,2604, right off the l in brooklyn this is a nice cozy place with good pizza .,ambience,positive
141,473, i 've never been treated so rudely .,service,negative
142,380, i 'll be back soon .,anecdotes/miscellaneous,positive
143,2960, le pere pinard has a $ 15 ore theater menu that is outstanding .,food,positive
144,322, went inside and i started to get excited .,anecdotes/miscellaneous,positive
145,1383, i also ordered for delivery and the restaurant forgot half the order .,service,negative
146,892, our server checked on us maybe twice during the entire meal .,service,negative
147,2296," however , it is jus too good to not praise it .",anecdotes/miscellaneous,positive
148,868, we have been to montparnasse many times and return often for good reason .,anecdotes/miscellaneous,positive
149,2936, the strong scents coming from the left and right of me negatively affected my taste buds .,anecdotes/miscellaneous,negative
150,3423, we had the lobster sandwich and it was fantastic .,food,positive
151,154, it 's somewhere you can eat and be happy .,anecdotes/miscellaneous,positive
152,591," if you wrote a bad review , it 's because you do n't understand what rao 's is all about .",anecdotes/miscellaneous,positive
153,1197," had we been stalling i could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a check yet !",service,negative
154,2061, but overall i give it a 10,anecdotes/miscellaneous,positive
155,2274," though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .",food,positive
156,2274," though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .",price,positive
157,2804, deep fried skewers are good and still rare to find in nyc .,food,positive
158,194," i have tried to make reservations , but both times , the hostess did n't have my name .",service,negative
159,148, i also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,food,positive
160,2747, their tuna tartar appetizer is to die for .,food,positive
161,2845, this was one of the best restaurants i 've ever been to .,anecdotes/miscellaneous,positive
162,187, this restaurant used to be pretty decent .,anecdotes/miscellaneous,negative
163,856," an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .",food,positive
164,2033," if you love wine and cheese and delicious french fare , you 'll love artisanal !",food,positive
165,1402, i love indian food and consider myself to be quite an expert on it .,food,positive
166,439, some baby pizzas get their wish .,food,neutral
167,3360, plenty of choices to make your own creation .,food,positive
168,2949, it was tiny and i felt like i was eating in someone 's living room .,ambience,negative
169,570, i was there on sat .,anecdotes/miscellaneous,neutral
170,2053, overall a oh ya even though there is waiting it is def worth it,anecdotes/miscellaneous,positive
171,2053, overall a oh ya even though there is waiting it is def worth it,service,negative
172,3316, the lava cake dessert was incredible and i recommend it .,food,positive
173,433, vt is what baby pizzas hope to be when they grow up .,anecdotes/miscellaneous,positive
174,738," from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",food,negative
175,738," from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",service,negative
176,1549, lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for four dollars .,food,positive
177,1549, lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for four dollars .,price,positive
178,1798, the last time i went we were seated at a table in a corridor next to the kitchen .,anecdotes/miscellaneous,negative
179,2941, good selection of wines ranging from affordable to high end .,food,positive
180,2941, good selection of wines ranging from affordable to high end .,price,conflict
181,362," nice restaurant overall , with classic upscale italian decor .",ambience,positive
182,2921, not impressed with the food .,food,negative
183,1909, the entire dining experience was wonderful !,anecdotes/miscellaneous,positive
184,1878, the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they 're going to be in town .,food,positive
185,1878, the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they 're going to be in town .,anecdotes/miscellaneous,positive
186,858, service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .,service,positive
187,3376," order the pang duck , it 's fantastic .",food,positive
188,173," food is usually very good , though occasionally i wondered about freshness of raw vegetables in side orders .",food,conflict
189,1836," other than the crappy service from two individuals , it 's great .",service,conflict
190,1703, what more can you ask for ?,anecdotes/miscellaneous,positive
191,3564, wondering who had the best deals we noticed a line had formed to wait for this one particular establishment .,anecdotes/miscellaneous,neutral
192,1404, they have authentic indian at amazin prices .,food,positive
193,1404, they have authentic indian at amazin prices .,price,positive
194,645, you are treated just like royalty .,service,positive
195,3288," there 's nice and quiet , small but enough for 6 ( or more ) .",ambience,conflict
196,1819, ambiance relaxed and stylish .,ambience,positive
197,1144, i 've never felt more unwelcome than last month at jimmy 's bronx cafe .,anecdotes/miscellaneous,negative
198,2639," luckily we saved room for the bbq salmon , sea bass and crispy duck .",food,positive
199,1474," yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",food,negative
200,1553," looking from the outside in , one would hesitate to enter this hole in the wall ( really , that 's what it is ) .",ambience,negative
201,2059, and yes dal bukhara is so dam good and so are all the kebabs .,food,positive
202,926, i look forward to eating here again,anecdotes/miscellaneous,positive
203,2385, i 've been coming here as a child and always come back for the taste .,food,positive
204,2498, tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,food,positive
205,2498, tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,ambience,positive
206,2498, tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,price,positive
207,2469," a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy .",food,positive
208,567," food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .",food,negative
209,3517, the food always tastes fresh and served promptly .,food,positive
210,3517, the food always tastes fresh and served promptly .,service,positive
211,2069, i know because i live nearby .,anecdotes/miscellaneous,neutral
212,1599, the pizza here is delicious .,food,positive
213,2860, my entire family was horrified .,anecdotes/miscellaneous,negative
214,1092, on a monthly basis my friends and i get together and have a girls night out .,anecdotes/miscellaneous,neutral
215,2548," pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick !",food,positive
216,2548," pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick !",service,positive
217,759," for great chinese food nearby , you have wu liang ye and grand sichuan just a block away .",food,positive
218,3175, but who says murray 's is anything about service .,service,neutral
219,2209," this place is really trend but they have forgotten about the most important part of a restaurant , the food .",food,negative
220,2209," this place is really trend but they have forgotten about the most important part of a restaurant , the food .",anecdotes/miscellaneous,positive
221,2717, i have never been disappointed in the red eye .,anecdotes/miscellaneous,positive
222,1352, hats off to the chef .,food,positive
223,1543, this should have been done in a back room - away from customers .,anecdotes/miscellaneous,negative
224,3537," service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique seeming teapot , for one ) in the restaurant experience .",anecdotes/miscellaneous,positive
225,3537," service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique seeming teapot , for one ) in the restaurant experience .",service,negative
226,3213, glad you have the luxury to throw out paying customers .,anecdotes/miscellaneous,neutral
227,1743," the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzeria 's .",food,positive
228,1321, its an excellent place to relax and the food is one of the best in the city of new york .,food,positive
229,1321, its an excellent place to relax and the food is one of the best in the city of new york .,ambience,positive
230,2907," service is friendly , and never had a problem walking in and getting a table .",service,positive
231,1890, the atmosphere was crowded but it was a great bistro type vibe .,ambience,conflict
232,2675, check it out,anecdotes/miscellaneous,positive
233,2588," first off , the waitress was completely inattentive the 2 times we saw her ( odd in a restaurant with 6 tables ) and got our order wrong .",service,negative
234,2234, do n't go .,anecdotes/miscellaneous,negative
235,3130, the food was bland oily .,food,negative
236,3285, but they do .,anecdotes/miscellaneous,neutral
237,709," what is even better , is that the prices are very affordable as well , and the food is really good .",food,positive
238,709," what is even better , is that the prices are very affordable as well , and the food is really good .",price,positive
239,1198, the fish is fresh but the variety of fish is nothing out of ordinary .,food,conflict
240,2380, look i dont know if the people who wrote the reviews have ever been to a decent place ( please try some other places ) .,anecdotes/miscellaneous,neutral
241,2250, suan has challenged this loyalty .,anecdotes/miscellaneous,neutral
242,2302," our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .",food,positive
243,1110," and Bruno , the beverage manager is the best bartender i have yet to come across .",service,positive
244,973," ambiance and music funky , which i enjoy .",ambience,positive
245,2132," the food , drinks and service are clearly among the best in the city .",food,positive
246,2132," the food , drinks and service are clearly among the best in the city .",service,positive
247,231, i went there in late afternoon for some bite size food and refreshment with my date .,anecdotes/miscellaneous,neutral
248,1184," it 's a really great deal , considering we got full off of four dollars .",price,positive
249,250," i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a soldier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experience .",food,positive
250,250," i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a soldier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experience .",ambience,positive
251,250," i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a soldier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experience .",service,positive
252,227, went with mommy ( the only person who could afford taking me here ) .,anecdotes/miscellaneous,neutral
253,3653, my friends and i were on vacation in ny and was referred to chance by a friend .,anecdotes/miscellaneous,neutral
254,2988," last time i went here , the waitress did n't come back after taking our order .",service,negative
255,3092, try the tandoori salmon !,food,positive
256,1166," i am completely hooked on this place , it is ridiculous .",anecdotes/miscellaneous,positive
257,3686," eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience .",anecdotes/miscellaneous,negative
258,3686," eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience .",ambience,positive
259,1922," granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .",service,positive
260,1922," granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .",ambience,negative
261,2978," have recommended the place to friends , always gets good response .",anecdotes/miscellaneous,positive
262,2139, we will return many times for this oasis in mid-town .,anecdotes/miscellaneous,positive
263,2454, i love the atmosphere @ peep !,ambience,positive
264,1881, enjoy !,anecdotes/miscellaneous,positive
265,633, we were n't !,anecdotes/miscellaneous,neutral
266,268, this is one of my favorite restaurants and it is not to be missed .,anecdotes/miscellaneous,positive
267,3613, ( la rosa is connected by a swinging door to the mexican restaurant pacifico ) .,anecdotes/miscellaneous,neutral
268,1531, it could have been handled better .,anecdotes/miscellaneous,negative
269,603, the service was attentive and her suggestions of menu items was right on the mark .,service,positive
270,678, the other night we had the $ 30 three course meal and everything was delicious - if i could of licked the plate clean i would of .,food,positive
271,2690, please be aware that it 's cash or amex only !,anecdotes/miscellaneous,neutral
272,1830," even after getting pushed out by the no class famous ray 's , sal has risen again to carry on his father 's uncle 's legacies with a smile , true love for his community , and let 's not forget the outstanding pizza !",food,positive
273,1408, it 's a rather cramped and busy restaurant and it closes early .,ambience,negative
274,2521," the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",food,negative
275,2521," the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",service,negative
276,2521," the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",ambience,positive
277,1918," we had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .",food,positive
278,2930, i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .,anecdotes/miscellaneous,neutral
279,2166, they were served warm and had a soft fluffy interior .,food,positive
280,887, what came to our table was burned beyond recognition and stringy .,food,negative
281,2448, i had the pad thai and the noodles were sticky .,food,negative
282,3244," so i 've never actually been to m proper , but i 've had it delivered a few times .",anecdotes/miscellaneous,neutral
283,1478," among all of the new 5th avenue restaurants , this offers by far one of the best values for your money .",price,positive
284,1413," frankly , when you compare what you can have here for lunch , versus mads or so many other sandwich shops in the city , there is no comparison .",food,positive
285,3129, the hostess is rude to the point of being offensive .,service,negative
286,2271," if you 're craving for haru 's great food , especially the house roll , but ca n't stand the wait building outside , head across the street to their sake bar !",food,positive
287,2271," if you 're craving for haru 's great food , especially the house roll , but ca n't stand the wait building outside , head across the street to their sake bar !",service,negative
288,1554," a narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",ambience,negative
289,2306, the food is great .,food,positive
290,1975, succulent steaks cooked precisely to your desired oneness ' accompanied by salads and sides that do n't look like leafy road kill .,food,positive
291,3699," lunch came with nickels and slaw , no extra charge .",price,positive
292,2875, decent wine at reasonable prices .,food,positive
293,2875, decent wine at reasonable prices .,price,positive
294,2303, all conveniently delivered right to the door .,service,positive
295,2513, even the wine by the glass was good .,food,positive
296,458, nice family owned traditional restaurant .,anecdotes/miscellaneous,positive
297,809, would have rather tried terrace in the sky or water club for that price,anecdotes/miscellaneous,neutral
298,809, would have rather tried terrace in the sky or water club for that price,price,negative
299,141, this dish is my favorite and i always get it when i go there and never get tired of it .,food,positive
300,3655," i also ordered the change mojito , which was out of this world .",food,positive
301,2098, okay service .,service,neutral
302,1624, the only thing more wonderful than the food ( which is exceptional ) is the service .,food,positive
303,1624, the only thing more wonderful than the food ( which is exceptional ) is the service .,service,positive
304,1928, we were very pleasantly surprised .,anecdotes/miscellaneous,positive
305,2377," the food was just awful , atrocious actually .",food,negative
306,3209, i will never visit this restaurant again .,anecdotes/miscellaneous,negative
307,338, the soup for the udon was soy sauce and water .,food,negative
308,1630," the anti pasta was excellent , especially the calamari , as were the filling pasta mains .",food,positive
309,1907, the waitress suggested glasses of wine that went very well with the food .,food,positive
310,1907, the waitress suggested glasses of wine that went very well with the food .,service,positive
311,1557," ( or sister , in my case ! ) .",anecdotes/miscellaneous,neutral
312,3408, i 've eaten at many different indian restaurants .,anecdotes/miscellaneous,neutral
313,1535," they might be all business at the counter when you give your order , but their food says i love you .",food,positive
314,1535," they might be all business at the counter when you give your order , but their food says i love you .",service,negative
315,3202," we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",food,positive
316,449, try their plain pizza with fresh garlic or eggplant .,food,positive
317,1449, do n't go there !,anecdotes/miscellaneous,negative
318,927," ok , so the servers wander around a little clueless , but there 's more than enough servers for the crowd they get -- it 's fine , you just have to make a small effort to get their attention .",service,conflict
319,585, good luck getting a table .,anecdotes/miscellaneous,negative
320,1927," we picked it randomly , without a recommendation from someone who has been there , so we were n't sure what to expect .",anecdotes/miscellaneous,neutral
321,1367, do n't look down your nose at me like that ...,anecdotes/miscellaneous,negative
322,701, planet thai is great !,anecdotes/miscellaneous,positive
323,345, the service is awful .,service,negative
324,293, just do n't do it .,anecdotes/miscellaneous,negative
325,1720, just ignore the trendy wannabes .,anecdotes/miscellaneous,negative
326,1494," the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i ca n't wait !",food,positive
327,1085," trust me , it will be great , and all of it will be devoured in no time .",food,positive
328,2636, my girlfriends and i ate at org . again last night .,anecdotes/miscellaneous,neutral
329,1179, i wish they had one near my office i would go everyday .,anecdotes/miscellaneous,positive
330,1976, finally !,anecdotes/miscellaneous,positive
331,1315, amma has the worst value for money i have experienced in nyc over the past 2 years .,price,negative
332,3194," i am not the most experienced person when it comes to thai food , but my friend who took me there is .",anecdotes/miscellaneous,neutral
333,688, i think this would be a pretty good spot if it were not so overpriced and overrated .,price,negative
334,2393, regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes .,service,positive
335,1278, the pizza is good though .,food,positive
336,2201, bottles of wine are cheap and good .,price,positive
337,2201, bottles of wine are cheap and good .,food,positive
338,624, you will not be disappointed at all .,anecdotes/miscellaneous,positive
339,3252, walk ins are risky too .,anecdotes/miscellaneous,negative
340,620," the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumpkin tortellini .",food,positive
341,3541, they did n't give us the dinner special until we asked for it .,service,negative
342,865, you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,food,positive
343,375," word of advice , save room for pasta dishes and never leave until you 've had the tiramisu .",food,positive
344,2126, very good service and very good prices .,service,positive
345,2126, very good service and very good prices .,price,positive
346,2078, i recently went to this restaurant with some co-workers for lunch and had an amazing time .,anecdotes/miscellaneous,positive
347,846," the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",service,positive
348,2158, eds a bagel ( either by sty town or midtown ) is by far the best bagel in ny .,food,positive
349,1578, our food was great too !,food,positive
350,1282, open late ( well as late as i ever got there and i 'm a night person ),anecdotes/miscellaneous,positive
351,1319," the most annoying thing , though , is the fact that the servers seem to be trained to drive revenue .",service,negative
352,1175," get your food to go , find a bench , and kick back with a plate of dumplings .",anecdotes/miscellaneous,positive
353,1115," please try the filet mignon , its just the most tender piece ever .",food,positive
354,3396," everything we had was pretty good , but we have only been there once .",food,positive
355,34," we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .",anecdotes/miscellaneous,negative
356,798, something about them being busy with holiday party 's .,anecdotes/miscellaneous,negative
357,395, the sake menu should not be overlooked !,food,positive
358,1838, i would highly recommend .,anecdotes/miscellaneous,positive
359,176, this place is great .,anecdotes/miscellaneous,positive
360,3102, the drinks are amazing and half off till 8pm .,food,positive
361,3102, the drinks are amazing and half off till 8pm .,price,positive
362,984, i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good .,food,positive
363,2138," with so many poor experiences to be had in the theater district , is truly an excellent find !",anecdotes/miscellaneous,positive
