id,text,aspect,polarity
1989,"the second you walk through the heavy vault like door , with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime .",service,positive
2881,"having not been home in the last 2 years may skew this reviewer a bit , but the food was tasty and spicy sans the oil that comes floating along at similar venues .",food,positive
1782,taxa delicious !,food,positive
1594,the food was good too .,food,positive
3583,"consequently , their burgers fell apart in their hands and made such a mess that they didn't feel like finishing them .",anecdotes/miscellaneous,negative
3025,i 'm sure i 'll return for a final judgement tho .,anecdotes/miscellaneous,neutral
885,"while this is a pretty place in that overly cute french way , the food was insultingly horrible .",ambience,positive
1164,the food there is so good that even to order out the wait is incredible .,food,positive
3315,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,positive
882,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",ambience,positive
3181,please do n't fool us .,anecdotes/miscellaneous,negative
928,i care more about the food and ambience .,food,neutral
764,i ordered a chicken teriyaki dish and found that the chicken was extremely dry .,food,negative
2734,"the italian food has flavor ( that can be sort of surprising on the ues ) , and the service turns from a nightmare to attentive , they sort of remind me of the ny yankees of the late 90 's , no matter how bad it look , you knew that there was a rally just around the corner ...",food,positive
2696,"we all had the tasting menu and unlike some of the other reviews , i felt there was more than enough food .",food,positive
629,the place 's decor and hidden bathrooms made for a good laugh .,ambience,positive
1509,"still stay away , the table next to us walked out after my table and another were serves eventhough they were there much longer ...",service,negative
1140,"anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari .",food,negative
509,service was very good and warm .,service,positive
1823,i highly recommend the sophia pizza .,anecdotes/miscellaneous,positive
1404,they have authentic indian at amazin prices .,food,positive
870,"in addition , the food is very good and the prices are reasonable .",price,positive
1816,the perfect spot .,anecdotes/miscellaneous,positive
140,i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork .,food,positive
3530,"it 's like they took leftover chicken , poured oil and sprinkled pepper powder over it ( the sauce was translucent and red ) .",food,negative
2412,"spice is sleek , modern and cool with a menu that will not hurt your wallet .",price,positive
1712,we happened upon this place purely by accident and were pleased with the results .,anecdotes/miscellaneous,positive
1433,it is run by the same sichuan chef who started the chain in chinatown .,anecdotes/miscellaneous,neutral
1968,i went to df for valentines day dinner .,anecdotes/miscellaneous,neutral
85,try the chocolate mud cake ( warmed ) with 2 scoops of dulce de leche gelato .,food,positive
2275,"this place is a literal hole-in-the-wall that is buried within foyers , right off of pell st ( barber 's alley ) in chinatown .",ambience,negative
3589,get over it !,anecdotes/miscellaneous,neutral
554,the people that work there are always so friendly you forget you are in new york sometimes .,service,positive
969,"light , refreshing summer rolls ( not fried ) remind me of vietnamese places in paris .",food,positive
2271,"if you 're craving for haru 's great food , especially the house roll , but ca n't stand the wait building outside , head across the street to their sake bar !",service,negative
2146,"the staff makes you feel at home , the food is great and the atmosphere is wonderful !",service,positive
1098,i have been to roth 's twice and both times were very disappointing .,anecdotes/miscellaneous,negative
3556,and never strayed .,anecdotes/miscellaneous,positive
258,i go and eat out at many different restaurants and this is one place you have go and try .,anecdotes/miscellaneous,positive
3388,they live up to the thai way of living .,anecdotes/miscellaneous,neutral
214,"waitstaff is great , very attentive .",service,positive
2932,"first , the waiter who served us neglected to fill us in on the specials , which i would have chosen had i known about them .",service,negative
2484,"based on a visit a month ago , i returned the week before christmas and was hugely disappointed .",anecdotes/miscellaneous,negative
3557,"head and shoulders above its neighbors on east 6 st , taj mahal is also very comparable , in food quality , to the much overpraised ( and under deserving ) baluchi 's .",food,positive
2733,"by dinner time , they turn it around and mount a huge comeback ! !",anecdotes/miscellaneous,positive
3706,was there friday night .,anecdotes/miscellaneous,neutral
3366,"the food is amazing , rich pastas and fresh doughy pizza .",food,positive
3417,"while the new restaurant still features much of the same classical furniture that made tiffin so attractive , the menu has been overhauled .",food,negative
1407,the seats are uncomfortable if you are sitting against the wall on wooden benches .,ambience,negative
3598,it was horrible .,anecdotes/miscellaneous,negative
3059,the appetizers are just ok and the main courses were decidedly subpar .,food,negative
3653,my friends and i were on vacation in ny and was referred to chance by a friend .,anecdotes/miscellaneous,neutral
3413,i can not imagine a friendlier staff working in a restaurant .,service,positive
1163,the service is fantastic .,service,positive
2568,check it out .,anecdotes/miscellaneous,positive
563,i was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again .,service,negative
3546,i have tried literally every restaurant on curry row .,anecdotes/miscellaneous,neutral
211,service and food is what any one would expect when spending that type of money .,service,neutral
3208,do n't leave without trying one night in tokyo .,anecdotes/miscellaneous,positive
2674,it 's better than being on the roof of sutton place with 19 year old interns jabbing you in the ribs all night .,anecdotes/miscellaneous,positive
1766,food is excellent .,food,positive
2324,we always go there on the weekends and leave extremely full and satisfied .,anecdotes/miscellaneous,positive
2328,great indian food and the service is incredible .,food,positive
1918,"we had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .",food,positive
2210,"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",food,negative
3017,"i am a 100 lb girl , had a glass of wine and a glass of beer prior to the dinner , and i was still hungry after my visit to this place !",food,negative
1960,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other .,ambience,positive
2251,i was very impressed by this low-key upper astride and their authentically thai cuisine ! ! !,food,positive
2487,you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here .,price,negative
3187,a definitely must visit .,anecdotes/miscellaneous,positive
2236,"the food was not fresh , the sauces were bland and very oily .",food,negative
211,service and food is what any one would expect when spending that type of money .,food,neutral
949,we were seated outside and the waiter spilled red wine and hot tea on myself and my date .,service,negative
828,"even though i made the reservation at 3pm for the same night through dinner broker , we were seated at a table with one of the best view !",ambience,positive
1609,service was quick .,service,positive
337,the worst excuse for japanese food i 've ever encountered .,anecdotes/miscellaneous,negative
567,"food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .",food,negative
737,"this restaurant is not worth the time , effort , or money to say the least .",anecdotes/miscellaneous,negative
3154,i love to visit murrays for my bagel fix .,anecdotes/miscellaneous,positive
1188,"the food is great , service is ok .",food,positive
3334,definite go if you 're used to good indian restaurant food from abroad .,food,positive
3018,"oh , do n't even let me start with how expensive the bills were !",price,negative
1205,this is the best sushi in new york city - hands down .,food,positive
1580,the staff was the friendliest that have seen in new york .,service,positive
1402,i love indian food and consider myself to be quite an expert on it .,food,positive
164,the entire place and the treatment we received felt as a conveyor belt .,service,negative
758,"you will pay a lot for the decore , but the food is no better or worse than a lot of other chinese and asian fusion places in ny .",food,neutral
2036,"that is a problem since we paid about 20 bucks a dish , and had to order 5 dishes to get a decent taste .",price,negative
3228,"if you love seafood , you would love this place !",food,positive
896,ummm ... the beer was cold .,food,positive
2964,not a small feat for good french food in the area .,food,positive
324,"when asked , we had to ask more detailed questions so that we knew what the specials were .",service,negative
899,food and service was okay .,service,neutral
1162,"good atmosphere , combination of all the hottest music dress code is relatively strict except on fridays .",ambience,positive
1398,"delicious food , excellent service , and a pretty atmosphere make this a great choice for dinner and the $ 5.99 lunch buffet makes it an even better choice for lunch !",food,positive
1869,i would like to return and try some of the other menu items when i do n't have to rush off to a show .,food,positive
2152,the bagels are fabulous .,food,positive
2399,they are served with a free appetizer and the portions are perfect for lunch .,food,positive
3107,"i would never wait for a table to eat , it just is not that great .",anecdotes/miscellaneous,negative
3376,"order the pang duck , it 's fantastic .",food,positive
1018,"sometimes i get bad food and bad service , sometimes i get good good and bad service .",service,negative
573,the wine the service was very good too .,service,positive
62,( always ask the bartender for the seasonal beer ! ! !,food,positive
2200,the design and atmosphere is just as good .,ambience,positive
97,the wine list is also really nice .,food,positive
1957,try the cheesecake !,food,positive
1095,the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 !,ambience,positive
71,the pizza and wine were excellent the service too -- but what really made this place was the backyard dining area .,service,positive
1969,"the service , wine selection , ambiance are all outstanding and deserve recognition .",ambience,positive
210,i found this restaurant to be one that truly values its patrons .,anecdotes/miscellaneous,positive
1214,if you are in the area try the bagel shoppe on 74th street which is 3 blocks away on 2nd ave .,anecdotes/miscellaneous,positive
3672,the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check .,service,negative
1716,lucky strike is a great casual place to just grab a bite to eat .,food,positive
3461,also very inexpensive .,price,positive
2217,i would definitely recommend sea if you like thai cuisine !,food,positive
353,their margarita is best i 've had since i 've returned from naples !,food,positive
201,"anyway , the food is good , the price is right and they have a decent wine list .",food,positive
3490,we have lived in chelsea for two years and have never noticed this restaurant .,anecdotes/miscellaneous,neutral
2962,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",food,positive
687,i 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,service,positive
1547,it appears to be the owner 's first venture and it shows .,anecdotes/miscellaneous,negative
3682,"the wait staff is very friendly , they make it feel like you 're eating in a friendly little european town .",service,positive
3180,"they do n't concern much of customer 's health , just want to make money .",anecdotes/miscellaneous,negative
3086,"while the place is not a hotspot hangout , the drinks are unique and pack a lot of bang for the buck .",food,positive
1857,the space is nice but when we order our drink we were in for a surprise .,ambience,positive
467,a word to the wise - the hoboken health inspector clued me to his findings that this is the cleanest restaurant in town .,ambience,positive
2071,try the sea bass .,food,positive
882,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",food,negative
1690,i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there .,anecdotes/miscellaneous,negative
359,"however , looking at the table next to ours , we both sort of wished we had ordered pizza , which looked perrrrrrrrrfect .",food,positive
141,this dish is my favorite and i always get it when i go there and never get tired of it .,food,positive
2791,"the porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",food,negative
2037,"this place has good potential , but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else .",anecdotes/miscellaneous,negative
2034,"for being number 1 , this place has alot of work to do in order to truly earn its so called reputation .",anecdotes/miscellaneous,negative
2009,i 'm saving up for my next visit .,anecdotes/miscellaneous,positive
745,this was a repeat visit and we 'll definitely be back again .,anecdotes/miscellaneous,positive
3262,they 're terrific ! !,anecdotes/miscellaneous,positive
2276,"the photobook menu was a cute touch , certainly helped my group and i pick the fried chicken , pork chop , and noodle dishes that we all ordered .",food,positive
232,the place was quiet and delightful .,ambience,positive
3103,"ask for usha , the nicest bartender in manhattan .",service,positive
3455,"all of it was simply amazing , unique and tasty and best of all it did n't break the bank .",food,positive
1138,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,food,neutral
1385,"service is extraordinary , yet not overbearing , and the decor brings a taste of trendy soho into queens .",service,positive
2849,all i can say is wow !,anecdotes/miscellaneous,positive
2647,patroon features a nice cigar bar and has great staff .,service,positive
3140,the dim sum is delectable while the prices are quite easy on the wallet .,food,positive
953,"with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",service,negative
2244,i love their thai noodles with shrimp and chicken and coconut juice is the must !,food,positive
2395,its worth the wait though .,anecdotes/miscellaneous,positive
539,the restaurant is rather small but we were lucky to get a table quickly .,service,positive
1367,do n't look down your nose at me like that ...,anecdotes/miscellaneous,negative
2097,usually 3 vs. 4 items per dish .,food,neutral
3253,"good to find a restaurant where the owners have some imagination and they have actually pulled it off , like in this case .",anecdotes/miscellaneous,positive
127,the noodle and rices dishes taste great .,food,positive
2151,how do you rate home ?,anecdotes/miscellaneous,positive
2581,we do not need to go to a four-star restaurant anymore .,anecdotes/miscellaneous,neutral
1055,great bagels made the old-fashioned way .,food,positive
2983,"nice atmosphere , the service was very pleasant and the desert was good .",ambience,positive
2408,"at night , but it 's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous .",ambience,negative
1819,ambiance relaxed and stylish .,ambience,positive
2600,i highly recommend to anyone to give this place a try .,anecdotes/miscellaneous,positive
3472,both times we waited well over a half hour for a table ( even though we had reservations ) .,service,negative
2973,"the food was amazing , and the service was prompt and helpful , but not over bearing or rushed .",food,positive
2639,"luckily we saved room for the bbq salmon , sea bass and crispy duck .",food,positive
3246,the best i 've found outside of the chinatown masters .,food,positive
1586,the food portions are really large .,food,positive
1131,"wow ! how have i missed this one , tried long tan last week for the first time and now know what the ny times and many more in the neighborhood already knew .",anecdotes/miscellaneous,positive
2038,the food was boring and expensive .,price,negative
3515,this is a great thai restaurant with a very friendly staff .,anecdotes/miscellaneous,positive
1601,they have some great entrees here as well .,food,positive
1907,the waitress suggested glasses of wine that went very well with the food .,food,positive
620,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumpkin tortellini .",food,positive
3630,so sorry i ca n't rate this better .,anecdotes/miscellaneous,neutral
3360,plenty of choices to make your own creation .,food,positive
1040,"so , for good food i 'd recommend it , but not for a fun night out .",food,positive
758,"you will pay a lot for the decore , but the food is no better or worse than a lot of other chinese and asian fusion places in ny .",price,negative
2623,"if you are looking for a good quality , cheap eats - this is the place .",price,positive
2396,all the nyu students love this place so it makes for a fun young atmosphere .,ambience,positive
2176,always fresh and delicious .,food,positive
2427,"this place does n't compare with mamoun 's in terms of price , freshness , value , and consistent quality , but that 's just my opinion .",price,negative
3043,we usually just get some of the dinner specials and they are very reasonably priced and very tasty .,food,positive
1245,"it was raining , and we figured why not ?",anecdotes/miscellaneous,neutral
2140,hurley 's is like cheers where everyone knows your name and they are actually glad you came .,service,positive
1683,"the vibe is very relaxed and cozy , service was great and the food was excellent !",food,positive
153,this is one of the best comfort food places in the city .,food,positive
3222,and that 's no mean feat ...,anecdotes/miscellaneous,neutral
2221,too cold to enjoy .,ambience,negative
2614,"it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york .",anecdotes/miscellaneous,positive
607,my friends and i came across this place while walking in the village .,anecdotes/miscellaneous,neutral
3206,its a go-to for dates as well as entertaining out of town guests .,ambience,positive
2914,"i do n't get it , what 's so special about prune ?",anecdotes/miscellaneous,negative
3432,"had 1 appetizer , 2 entrees and 2 cokes and the bill was ~ $ 55.00 , not including tip .",food,neutral
1623,the wine list is excellent .,food,positive
2768,"although the tables may be closely situated , the candle light , food quality and service overcompensate .",service,positive
1071,a little pricey but it really hits the spot on a sunday morning !,price,negative
1440,the hot and sour soup was unbearably hot and tasted of only pepper and nothing else .,food,negative
800,my fiance took me to scopa last week for my birthday and i could n't believe the food .,anecdotes/miscellaneous,neutral
731,"try the mediterranean salad , it is a true experience for your taste buds ! !",food,positive
845,the dining room is quietly elegant with no music to shout over -- how refreshing !,ambience,positive
345,the service is awful .,service,negative
3625,such nice people working here - but i have to review the food .,service,positive
3631,this place has many different styles of pizza and they are all amazing .,food,positive
677,satisfying .,anecdotes/miscellaneous,positive
177,i had a huge group for my birthday and we were well taken care of .,service,positive
803,i will recommend scopa to all of my friends for a place to go for wonderful italian food .,food,positive
1878,the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they 're going to be in town .,food,positive
2441,i am a die hard peep lover .,anecdotes/miscellaneous,positive
3170,"good spreads , great beverage selections and bagels really tasty .",food,positive
1243,"place should also have a 1,2,3 chili rating to be more authentic ...",anecdotes/miscellaneous,neutral
1591,i loved everything about it especially the shows and actors .,ambience,positive
2708,"the food is fresh , delicious , and reasonably priced .",price,positive
1945,"if you want a casual neighborhood bistro that has great food and excellent service , this is the place .",service,positive
2708,"the food is fresh , delicious , and reasonably priced .",food,positive
1400,i love this place !,anecdotes/miscellaneous,positive
3521,everyone i bring here always loves it .,anecdotes/miscellaneous,positive
834,a bit breezy up there on the mezzanine from the wind coming from the tracks .,ambience,negative
3062,authentic bistro !,anecdotes/miscellaneous,positive
449,try their plain pizza with fresh garlic or eggplant .,food,positive
1979,"when you want a piece of beef , head on over .",food,positive
1021,i usually go there later at night when i get off work so i do n't have to deal with crowds or lines .,anecdotes/miscellaneous,neutral
1808,"however , it 's the service that leaves a bad taste in my mouth .",service,negative
645,you are treated just like royalty .,service,positive
1759,we got most of it back at home with us .,anecdotes/miscellaneous,neutral
2737,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",ambience,positive
122,thank you emilio .,anecdotes/miscellaneous,positive
1273,i love the fact that the pizza tastes so good and is so cheap .,food,positive
366,"we could not catch our waiter 's eye , and he ignored us .",service,negative
3226,monday nights are a bargain at the $ 28 prix fix - this includes a three course meal plus three glasses of wine paired with each course .,price,positive
1287,i live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of the pizza place at 3am .,anecdotes/miscellaneous,positive
1723,"the food is yummy , especially their cooked to perfection mussels in spicy tomato sauce and their shoestring crispy fries .",food,positive
1419,"the thali was small , thoroughly unremarkable , and $ 14.95 .",food,negative
2153,"we live in new jersey and whenever we go into new york city we buy bagels to eat hot and then to freeze ( they told me that if i call in the order , they 'd bring it out to the car so i would n't have to look for parking ) .",service,positive
2752,just moved to the neighborhood and we 've been trying all the west village sushi restaurants .,anecdotes/miscellaneous,neutral
2959,they also have a back garden open in the summer - cute and french with outdoor seating - what more could you ask for ?,ambience,positive
2378,"the service was typical short-order , dinner type .",service,neutral
954,after passing by this restaurant for sometime i finally decided to go in and have dinner .,anecdotes/miscellaneous,neutral
2915,"not the food , not the ambiance , not the service , i agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",service,negative
812,the food was delicious and the waiter was incredibly helpful and attentive ( considering we were the only ones there for the first hour ) .,service,positive
574,moderate prices .,price,neutral
2697,the quail was fantastic and unique and the pastas were full of flavor .,food,positive
2312,stumbled upon this gem of a pizza place and i will be going back frequently .,anecdotes/miscellaneous,positive
1104,"i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the polonaise sauce completely that was how failed it was .",food,negative
1166,"i am completely hooked on this place , it is ridiculous .",anecdotes/miscellaneous,positive
1606,"both are delicious , the cooks are friendly and are willing to take a moment and speak to you and shake your hand .",service,positive
2129,killer sushi !,food,positive
1217,"unlike hh up the block , this place actually gives you hearty and hot bagels this town is known for .",food,positive
1660,stuffing yourself with japanese food is a rare thing .,food,neutral
2593,"the pesto pizza was excellent , thin crust pizza with a nice amount of spicy italian cheese that i 'd never heard of before .",food,positive
3440,"even though its good seafood , the prices are too high .",food,positive
3455,"all of it was simply amazing , unique and tasty and best of all it did n't break the bank .",price,positive
1029,i found the variety of the sashimi plate to be satisfying - fresh and yummy .,food,positive
601,we went to eat at the jekyll and hyde restaurant on friday night and really enjoyed the fun atmosphere and good food .,food,positive
3213,glad you have the luxury to throw out paying customers .,anecdotes/miscellaneous,neutral
2277,"the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei .",food,neutral
3172,i complete the total bagel experience by having it lightly toasted .,anecdotes/miscellaneous,neutral
405,"i tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",food,positive
1448,what a ripoff !,price,negative
502,we were very surprised by how good the food was on our first visit here on a sunday night .,food,positive
3434,"oh , and the complimentary pudding dessert was just enough yummy !",food,positive
1477,"the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people .",food,positive
3327,the food at this place is gourmet ' indian cuisine .,food,neutral
2464,it is definitely special and affordable .,price,positive
1218,"of course this atmosphere is lacking , but what do you expect from a 24 hour bagel place anyways ?",ambience,negative
2773,slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .,food,negative
2602,p.s . please do n't tell anyone in my family i eat there .,anecdotes/miscellaneous,neutral
3659,"overall , excellent restaurant !",anecdotes/miscellaneous,positive
2281,"if you 're not familiar with the cuisine , you may encounter problems ordering here and be sure to bring plenty of cash with you as they do n't accept credit cards .",anecdotes/miscellaneous,negative
2888,it 's very spicy but not offensive .,food,neutral
1719,i recommend it !,anecdotes/miscellaneous,positive
3319,although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,service,positive
859,"meanwhile , the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil , gratis .",service,positive
3507,"his wife tanya , the hostess , completes the comforting atmosphere by being delightfully warm and gracious .",ambience,positive
2998,"even if the food was n't this good , the garden is a great place to sit outside and relax .",food,positive
3083,"the wait staff is friendly , and the food has gotten better and better !",food,positive
965,"once you become a regular , you are treated as one .",service,positive
2393,regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes .,service,positive
3133,in china the phrase for a good restaurant is hot and loud .,anecdotes/miscellaneous,neutral
2677,"just do n't take the seat between the bar and the back half of the restaurant , i saw a woman get nudged times sitting there .",ambience,negative
1645,$ 20 gets you unlimited sushi of a very high quality i even took a friend here from japan who said it was one of the best sushi places in the us that he has been to .,food,positive
1952,the service was excellent and the food was delicious .,service,positive
2913,i 'm glad i was introduced to this place and this is a rare gem in ny .,anecdotes/miscellaneous,positive
914,i work around the corner and tried it with a colleague for the first time .,anecdotes/miscellaneous,neutral
1041,the people in the restaurant were pretty obnoxious and loud .,ambience,negative
3457,from the moment we walked in they were more than accomodating even though the place was packed .,ambience,negative
1167,as soon as i wake up on a saturday or sunday it is the first thing on my mind is when and how i will be getting to fried dumpling .,anecdotes/miscellaneous,positive
1916,"it 's charmingly small and that leads to an atmosphere that is extremely cozy and romantic , even .",ambience,positive
1497,we had the most wonderful waitress .,service,positive
1466,"strike up a conversation with the attorney next to you , or with the local union worker on the other side .",anecdotes/miscellaneous,neutral
316,there was a great deal for 6 blue point oysters and a beer or glass of wine for $ 8 !,price,positive
562,our tiny table for two ( dinner plates hung over edge ) was right in the middle of one of the lanes of waiter traffic .,ambience,negative
1747,wait staff is blatantly unappreciative of your business but its the best pie on the uws !,food,positive
1713,"other than being a little crowded and a bit overpriced , the atmosphere is filled with energy ( and the beautiful people of course ) and the food was surprising good !",price,negative
1841,give it a try and enjoy .,anecdotes/miscellaneous,positive
1632,"still , any quibbles about the bill were off-set by the pour your own measures of liqueurs which were courtesy of the house ...",food,positive
492,the servers give you some sample slices of your order while you wait ( shortly i might add ) .,service,positive
351,try sushi mi cucumber roll .,food,positive
3315,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,price,positive
271,these innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible .,food,positive
1507,moral stay away .,anecdotes/miscellaneous,negative
623,its located in Greenwich village .,anecdotes/miscellaneous,neutral
2827,"the food was below average , the service was pathetic , there was no ambience at all .",ambience,negative
2379,but i just would like to say i read the reviews people left and thats why i checked it out .,anecdotes/miscellaneous,neutral
1146,"this time , i prefer not to go into detail .",anecdotes/miscellaneous,neutral
1239,i recommend ordering in on a weeknight .,anecdotes/miscellaneous,positive
1912,you will be satisfied .,anecdotes/miscellaneous,positive
1998,"i will definitely go back again and again , that 's for sure ! ! !",anecdotes/miscellaneous,positive
2891,"over the years , it has always provided a pleasurable dining experience with quality food and wine .",food,positive
709,"what is even better , is that the prices are very affordable as well , and the food is really good .",food,positive
2483,could be pricey without a prix fixe meal .,price,negative
2423,"i live nearby and when they first opened , i ate there a lot .",anecdotes/miscellaneous,neutral
396,"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",anecdotes/miscellaneous,positive
1164,the food there is so good that even to order out the wait is incredible .,service,negative
3242,"it was huge , delicious , fresh , and will be the reason we return .",food,positive
1560,and its absolutely delicious .,food,positive
714,very affordable and excellent ambient !,price,positive
581,we 'd go back again,anecdotes/miscellaneous,positive
2209,"this place is really trend but they have forgotten about the most important part of a restaurant , the food .",food,negative
1177,so so so so so good !,anecdotes/miscellaneous,positive
1860,we thought this a prelude to what the evening will be like .,anecdotes/miscellaneous,neutral
2711,"in fact , you ca n't miss it .",anecdotes/miscellaneous,positive
726,big thumbs up !,anecdotes/miscellaneous,positive
3453,"finally , after all the raving i went to check it out with one of my enthusiastic friends this last saturday night and let me tell you its all its cracked up to be .",anecdotes/miscellaneous,positive
2812,"same owner as the guy who owns typhoon , which is just down the street on st. marks and 1st ave .",anecdotes/miscellaneous,neutral
3544,the ambience is very romantic and definitely a good place to bring a date .,ambience,positive
2963,their wines by the glass are a great accompaniment and you can eat like a king with wine for under $ 30 .,price,positive
1415,"disappointing food , lousy service .",food,negative
295,everything that happened was not even up to mediocre .,anecdotes/miscellaneous,negative
2469,"a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy .",food,positive
2921,not impressed with the food .,food,negative
2832,"the food is wonderful , tasty and filling , and the service is professional and friendly .",food,positive
3487,i 've lived in nyc all my life and had never before seen so many water bugs in one place ( except in a really bad dream ) .,ambience,negative
835,the food was very expensive ( we spent $ 160 for lunch for two ) but extremely tasty .,price,negative
1431,i do n't think i would go again .,anecdotes/miscellaneous,negative
2173,worth visiting the 1st ave spot because it is the original store .,anecdotes/miscellaneous,positive
1919,"all in all , i do n't see how you can go wrong .",anecdotes/miscellaneous,positive
2301,really .,anecdotes/miscellaneous,neutral
2653,the menu prices are a bit expensive for what you get in quality and portion size .,food,negative
2537,"it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine .",food,negative
3670,"first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...",service,negative
2128,highly recommend this as great value for excellent sushi and service .,food,positive
3535,"the decor is dark , cool and soothing , while the food 's presentation is spectacular , considering the low prices .",food,positive
3428,we will be back .,anecdotes/miscellaneous,positive
2253,try the green curry ! ! !,food,positive
3539,"similar to other indian restaurants , they use the dinner special to attract customers at the door .",anecdotes/miscellaneous,neutral
2584,it has been my first choice ever since i discovered it .,anecdotes/miscellaneous,positive
3367,"best of all is the warm vibe , the owner is super friendly and service is fast .",service,positive
3635,we would like to thank marcelo and grace for a wonderful dining experience ! ! !,anecdotes/miscellaneous,positive
